player,playerId,team,teamId,conference,division,age,height_abbrev,height,jersey,position,teams
Aaron Gordon,203932,DEN,1610612743,west,northwest,26.0,6-8,80,50.0,Forward,DENORL
Austin Rivers,203085,DEN,1610612743,west,northwest,29.0,6-4,76,25.0,Guard,DENNYKHOUWASLACNOPNOH
Bones Hyland,1630538,DEN,1610612743,west,northwest,21.0,6-2,74,3.0,Guard,DEN
Bryn Forbes,1627854,DEN,1610612743,west,northwest,28.0,6-2,74,7.0,Guard,DENSASMIL
Davon Reed,1628432,DEN,1610612743,west,northwest,26.0,6-5,77,9.0,Guard,DENINDPHX
DeMarcus Cousins,202326,DEN,1610612743,west,northwest,31.0,6-10,82,4.0,Center,DENMILLACHOUGSWNOPSAC
Facundo Campazzo,1630267,DEN,1610612743,west,northwest,30.0,5-10,70,7.0,Guard,DEN
JaMychal Green,203210,DEN,1610612743,west,northwest,31.0,6-8,80,0.0,Forward-Center,DENLACMEMSAS
Jeff Green,201145,DEN,1610612743,west,northwest,35.0,6-8,80,32.0,Forward,DENBKNHOUUTAWASCLEORLLACMEMBOSOKCSEA
Markus Howard,1630210,DEN,1610612743,west,northwest,22.0,5-10,70,0.0,Guard,DEN
Michael Porter Jr.,1629008,DEN,1610612743,west,northwest,23.0,6-10,82,1.0,Forward,DEN
Monte Morris,1628420,DEN,1610612743,west,northwest,26.0,6-2,74,11.0,Guard,DEN
Nikola Jokic,203999,DEN,1610612743,west,northwest,27.0,6-11,83,15.0,Center,DEN
Vlatko Cancar,1628427,DEN,1610612743,west,northwest,24.0,6-8,80,31.0,Forward,DEN
Will Barton,203115,DEN,1610612743,west,northwest,31.0,6-5,77,5.0,Guard,DENPOR
Zeke Nnaji,1630192,DEN,1610612743,west,northwest,21.0,6-9,81,22.0,Forward-Center,DEN
Aaron Holiday,1628988,PHX,1610612756,west,pacific,25.0,6-0,72,4.0,Guard,PHXWASIND
Bismack Biyombo,202687,PHX,1610612756,west,pacific,29.0,6-8,80,18.0,Center,PHXCHAORLTOR
Cameron Johnson,1629661,PHX,1610612756,west,pacific,25.0,6-8,80,23.0,Forward,PHX
Cameron Payne,1626166,PHX,1610612756,west,pacific,27.0,6-1,73,15.0,Guard,PHXCLECHIOKC
Chris Paul,101108,PHX,1610612756,west,pacific,36.0,6-0,72,3.0,Guard,PHXOKCHOULACNOHNOK
Deandre Ayton,1629028,PHX,1610612756,west,pacific,23.0,6-11,83,22.0,Center,PHX
Devin Booker,1626164,PHX,1610612756,west,pacific,25.0,6-5,77,1.0,Guard,PHX
Elfrid Payton,203901,PHX,1610612756,west,pacific,28.0,6-3,75,2.0,Guard,PHXNYKNOPORL
Frank Kaminsky,1626163,PHX,1610612756,west,pacific,28.0,7-0,84,8.0,Forward-Center,PHXCHA
Ish Wainright,1630688,PHX,1610612756,west,pacific,27.0,6-5,77,12.0,Forward,PHX
JaVale McGee,201580,PHX,1610612756,west,pacific,34.0,7-0,84,0.0,Center-Forward,PHXDENCLELALGSWDALPHIWAS
Jae Crowder,203109,PHX,1610612756,west,pacific,31.0,6-6,78,99.0,Forward,PHXMIAMEMUTACLEBOSDAL
Landry Shamet,1629013,PHX,1610612756,west,pacific,24.0,6-4,76,14.0,Guard,PHXBKNLACPHI
Mikal Bridges,1628969,PHX,1610612756,west,pacific,25.0,6-6,78,25.0,Forward,PHX
Torrey Craig,1628470,PHX,1610612756,west,pacific,31.0,6-7,79,0.0,Forward,PHXINDMILDEN
Aaron Nesmith,1630174,BOS,1610612738,east,atlantic,22.0,6-5,77,26.0,Guard-Forward,BOS
Al Horford,201143,BOS,1610612738,east,atlantic,35.0,6-9,81,42.0,Center-Forward,BOSOKCPHIATL
Brodric Thomas,1630271,BOS,1610612738,east,atlantic,25.0,6-5,77,97.0,Guard,BOSCLEHOU
Daniel Theis,1628464,BOS,1610612738,east,atlantic,29.0,6-9,81,27.0,Forward-Center,BOSHOUCHI
Derrick White,1628401,BOS,1610612738,east,atlantic,27.0,6-4,76,9.0,Guard,BOSSAS
Grant Williams,1629684,BOS,1610612738,east,atlantic,23.0,6-6,78,12.0,Forward,BOS
Jaylen Brown,1627759,BOS,1610612738,east,atlantic,25.0,6-6,78,7.0,Guard-Forward,BOS
Jayson Tatum,1628369,BOS,1610612738,east,atlantic,23.0,6-8,80,0.0,Forward-Guard,BOS
Kelan Martin,1629103,BOS,1610612738,east,atlantic,26.0,6-5,77,21.0,Forward,BOSINDMIN
Luke Kornet,1628436,BOS,1610612738,east,atlantic,26.0,7-2,86,40.0,Center-Forward,BOSMILCLECHINYK
Malik Fitts,1630238,BOS,1610612738,east,atlantic,24.0,6-5,77,24.0,Forward,BOSUTALAC
Marcus Smart,203935,BOS,1610612738,east,atlantic,27.0,6-4,76,36.0,Guard,BOS
Payton Pritchard,1630202,BOS,1610612738,east,atlantic,24.0,6-1,73,11.0,Guard,BOS
Robert Williams III,1629057,BOS,1610612738,east,atlantic,24.0,6-9,81,44.0,Center-Forward,BOS
Sam Hauser,1630573,BOS,1610612738,east,atlantic,24.0,6-7,79,30.0,Forward,BOS
Aaron Wiggins,1630598,OKC,1610612760,west,northwest,23.0,6-4,76,21.0,Guard,OKC
Aleksej Pokusevski,1630197,OKC,1610612760,west,northwest,20.0,7-0,84,17.0,Forward,OKC
Darius Bazley,1629647,OKC,1610612760,west,northwest,21.0,6-8,80,7.0,Forward,OKC
Derrick Favors,202324,OKC,1610612760,west,northwest,30.0,6-9,81,15.0,Forward,OKCUTANOPNJN
Isaiah Roby,1629676,OKC,1610612760,west,northwest,24.0,6-8,80,22.0,Forward,OKC
Jeremiah Robinson-Earl,1630526,OKC,1610612760,west,northwest,21.0,6-8,80,50.0,Forward,OKC
Josh Giddey,1630581,OKC,1610612760,west,northwest,19.0,6-8,80,3.0,Guard,OKC
Kenrich Williams,1629026,OKC,1610612760,west,northwest,27.0,6-6,78,34.0,Guard-Forward,OKCNOP
Lindy Waters III,1630322,OKC,1610612760,west,northwest,24.0,6-6,78,12.0,Forward,OKC
Luguentz Dort,1629652,OKC,1610612760,west,northwest,22.0,6-3,75,5.0,Guard,OKC
Mike Muscala,203488,OKC,1610612760,west,northwest,30.0,6-10,82,33.0,Forward-Center,OKCLALPHIATL
Olivier Sarr,1630846,OKC,1610612760,west,northwest,23.0,7-0,84,30.0,Center,OKC
Shai Gilgeous-Alexander,1628983,OKC,1610612760,west,northwest,23.0,6-6,78,2.0,Guard,OKCLAC
Theo Maledon,1630177,OKC,1610612760,west,northwest,20.0,6-4,76,11.0,Guard,OKC
Tre Mann,1630544,OKC,1610612760,west,northwest,21.0,6-3,75,23.0,Guard,OKC
Ty Jerome,1629660,OKC,1610612760,west,northwest,24.0,6-5,77,16.0,Guard-Forward,OKCPHX
Vit Krejci,1630249,OKC,1610612760,west,northwest,21.0,6-8,80,27.0,Guard,OKC
Admiral Schofield,1629678,ORL,1610612753,east,southeast,24.0,6-5,77,25.0,Forward,ORLWAS
Bol Bol,1629626,ORL,1610612753,east,southeast,22.0,7-2,86,10.0,Center-Forward,DEN
Chuma Okeke,1629643,ORL,1610612753,east,southeast,23.0,6-6,78,3.0,Forward,ORL
Cole Anthony,1630175,ORL,1610612753,east,southeast,21.0,6-3,75,50.0,Guard,ORL
Franz Wagner,1630532,ORL,1610612753,east,southeast,20.0,6-10,82,22.0,Forward,ORL
Gary Harris,203914,ORL,1610612753,east,southeast,27.0,6-4,76,14.0,Guard,ORLDEN
Ignas Brazdeikis,1629649,ORL,1610612753,east,southeast,23.0,6-6,78,17.0,Forward,ORLPHINYK
Jalen Suggs,1630591,ORL,1610612753,east,southeast,20.0,6-5,77,4.0,Guard,ORL
Mo Bamba,1628964,ORL,1610612753,east,southeast,23.0,7-0,84,5.0,Center,ORL
Moritz Wagner,1629021,ORL,1610612753,east,southeast,24.0,6-11,83,21.0,Forward-Center,ORLBOSWASLAL
R.J. Hampton,1630181,ORL,1610612753,east,southeast,21.0,6-4,76,13.0,Guard,ORLDEN
Robin Lopez,201577,ORL,1610612753,east,southeast,33.0,7-0,84,33.0,Center,ORLWASMILCHINYKPORNOHPHX
Terrence Ross,203082,ORL,1610612753,east,southeast,31.0,6-6,78,31.0,Guard-Forward,ORLTOR
Wendell Carter Jr.,1628976,ORL,1610612753,east,southeast,22.0,6-10,82,34.0,Center-Forward,ORLCHI
Alec Burks,202692,NYK,1610612752,east,atlantic,30.0,6-6,78,18.0,Guard,NYKPHIGSWSACCLEUTA
Cam Reddish,1629629,NYK,1610612752,east,atlantic,22.0,6-8,80,21.0,Forward-Guard,NYKATL
Derrick Rose,201565,NYK,1610612752,east,atlantic,33.0,6-2,74,4.0,Guard,NYKDETMINCLECHI
Evan Fournier,203095,NYK,1610612752,east,atlantic,29.0,6-6,78,13.0,Guard-Forward,NYKBOSORLDEN
Immanuel Quickley,1630193,NYK,1610612752,east,atlantic,22.0,6-3,75,5.0,Guard,NYK
Jericho Sims,1630579,NYK,1610612752,east,atlantic,23.0,6-9,81,45.0,Center,NYK
Julius Randle,203944,NYK,1610612752,east,atlantic,27.0,6-8,80,30.0,Forward-Center,NYKNOPLAL
