player,playerId,team,teamId,conference,division,age,position,jersey,height,teams
Aaron Gordon,203932,DEN,1610612743,west,northwest,26,F,50.0,80,DEN.ORL
Aaron Holiday,1628988,PHX,1610612756,west,pacific,25,G,4.0,72,PHX.WAS.IND
Aaron Nesmith,1630174,BOS,1610612738,east,atlantic,22,G-F,26.0,77,BOS
Aaron Wiggins,1630598,OKC,1610612760,west,northwest,23,G,21.0,76,OKC
Admiral Schofield,1629678,ORL,1610612753,east,southeast,24,F,25.0,77,ORL.WAS
Al Horford,201143,BOS,1610612738,east,atlantic,35,C-F,42.0,81,BOS.OKC.PHI.ATL
Alec Burks,202692,NYK,1610612752,east,atlantic,30,G,18.0,78,NYK.PHI.GSW.SAC.CLE.UTA
Aleksej Pokusevski,1630197,OKC,1610612760,west,northwest,20,F,17.0,84,OKC
Alex Caruso,1627936,CHI,1610612741,east,central,28,G,6.0,77,CHI.LAL
Alex Len,203458,SAC,1610612758,west,pacific,28,C,25.0,84,SAC.WAS.TOR.ATL.PHX
Alperen Sengun,1630578,HOU,1610612745,west,southwest,19,C,28.0,82,HOU
Amir Coffey,1629599,LAC,1610612746,west,pacific,24,G-F,7.0,79,LAC
Andre Drummond,203083,BKN,1610612751,east,atlantic,28,C,0.0,82,BKN.PHI.LAL.CLE.DET
Andre Iguodala,2738,GSW,1610612744,west,pacific,38,G-F,9.0,78,GSW.MIA.DEN.PHI
Andrew Wiggins,203952,GSW,1610612744,west,pacific,27,F,22.0,79,GSW.MIN
Anfernee Simons,1629014,POR,1610612757,west,northwest,22,G,1.0,75,POR
Anthony Davis,203076,LAL,1610612747,west,pacific,28,F-C,3.0,82,LAL.NOP.NOH
Anthony Edwards,1630162,MIN,1610612750,west,northwest,20,G,1.0,76,MIN
Anthony Gill,1630264,WAS,1610612764,east,southeast,29,F,16.0,79,WAS
Arnoldas Kulboka,1629083,CHA,1610612766,east,southeast,24,F,98.0,82,CHA
Austin Reaves,1630559,LAL,1610612747,west,pacific,23,G,15.0,77,LAL
Austin Rivers,203085,DEN,1610612743,west,northwest,29,G,25.0,76,DEN.NYK.HOU.WAS.LAC.NOP.NOH
Avery Bradley,202340,LAL,1610612747,west,pacific,31,G,20.0,75,LAL.HOU.MIA.MEM.LAC.DET.BOS
Ayo Dosunmu,1630245,CHI,1610612741,east,central,22,G,12.0,76,CHI
Bam Adebayo,1628389,MIA,1610612748,east,southeast,24,C-F,13.0,81,MIA
Ben McLemore,203463,POR,1610612757,west,northwest,29,G,23.0,75,POR.LAL.HOU.SAC.MEM
Ben Simmons,1627732,BKN,1610612751,east,atlantic,25,G-F,10.0,83,PHI
Bismack Biyombo,202687,PHX,1610612756,west,pacific,29,C,18.0,80,PHX.CHA.ORL.TOR
Blake Griffin,201933,BKN,1610612751,east,atlantic,32,F,2.0,81,BKN.DET.LAC
Boban Marjanovic,1626246,DAL,1610612742,west,southwest,33,C,51.0,87,DAL.PHI.LAC.DET.SAS
Bobby Portis,1626171,MIL,1610612749,east,central,27,F,9.0,82,MIL.NYK.WAS.CHI
Bogdan Bogdanovic,203992,ATL,1610612737,east,southeast,29,G,13.0,78,ATL.SAC
Bojan Bogdanovic,202711,UTA,1610612762,west,northwest,32,F,44.0,79,UTA.IND.WAS.BKN
Bol Bol,1629626,ORL,1610612753,east,southeast,22,C-F,10.0,86,DEN
Bones Hyland,1630538,DEN,1610612743,west,northwest,21,G,3.0,74,DEN
Bradley Beal,203078,WAS,1610612764,east,southeast,28,G,3.0,76,WAS
Brandon Boston Jr.,1630527,LAC,1610612746,west,pacific,20,G,4.0,78,LAC
Brandon Clarke,1629634,MEM,1610612763,west,southwest,25,F,15.0,80,MEM
Brandon Goodwin,1629164,CLE,1610612739,east,central,26,G,0.0,72,CLE.ATL.DEN
Brandon Ingram,1627742,NOP,1610612740,west,southwest,24,F,14.0,80,NOP.LAL
Brandon Williams,1630314,POR,1610612757,west,northwest,22,G,,74,POR
Brodric Thomas,1630271,BOS,1610612738,east,atlantic,25,G,97.0,77,BOS.CLE.HOU
Brook Lopez,201572,MIL,1610612749,east,central,33,C,11.0,84,MIL.LAL.BKN.NJN
Bruce Brown,1628971,BKN,1610612751,east,atlantic,25,G-F,1.0,76,BKN.DET
Bruno Fernando,1628981,HOU,1610612745,west,southwest,23,F-C,28.0,81,HOU.BOS.ATL
Bryn Forbes,1627854,DEN,1610612743,west,northwest,28,G,7.0,74,DEN.SAS.MIL
Buddy Hield,1627741,IND,1610612754,east,central,29,G,24.0,76,IND.SAC.NOP
CJ Elleby,1629604,POR,1610612757,west,northwest,21,F-G,16.0,78,POR
CJ McCollum,203468,NOP,1610612740,west,southwest,30,G,3.0,75,NOP.POR
Cade Cunningham,1630595,DET,1610612765,east,central,20,G,2.0,78,DET
Caleb Martin,1628997,MIA,1610612748,east,southeast,26,F,16.0,77,MIA.CHA
Cam Reddish,1629629,NYK,1610612752,east,atlantic,22,F-G,21.0,80,NYK.ATL
Cam Thomas,1630560,BKN,1610612751,east,atlantic,20,G,24.0,75,BKN
