Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Lindy Waters III,3.55,15,99.29%
Lamar Stevens,3.79,17,99.24%
Derrick Jones Jr.,3.98,19,99.20%
Naji Marshall,4.06,20,99.18%
Cody Martin,4.06,28,99.18%
Grant Williams,4.17,19,99.16%
Isaiah Livers,4.21,19,99.15%
Taurean Prince,4.27,24,99.14%
Caleb Martin,4.42,25,99.11%
Gary Clark,4.45,23,99.10%
Malik Fitts,4.51,16,99.09%
Kelan Martin,4.52,25,99.09%
Haywood Highsmith,4.56,17,99.08%
Rui Hachimura,4.57,37,99.08%
Ish Wainright,4.58,23,99.08%
Jae'Sean Tate,4.58,17,99.08%
Dylan Windler,4.65,19,99.06%
Jaylen Brown,4.69,19,99.06%
Admiral Schofield,4.76,19,99.04%
OG Anunoby,4.84,29,99.02%
Ignas Brazdeikis,4.87,26,99.02%
Cedi Osman,4.99,49,98.99%
Ty Jerome,5.02,18,98.99%
Amir Coffey,5.03,19,98.99%
Devontae Cacok,5.03,28,98.99%
Jordan Nwora,5.08,31,98.98%
Matisse Thybulle,5.08,22,98.98%
Mikal Bridges,5.11,25,98.97%
Charlie Brown Jr.,5.12,19,98.97%
Stanley Johnson,5.16,20,98.96%
Brandon Ingram,5.19,29,98.95%
Brandon Clarke,5.23,29,98.95%
Herbert Jones,5.25,28,98.94%
Svi Mykhailiuk,5.30,29,98.93%
Trevelin Queen,5.31,25,98.93%
Terance Mann,5.40,25,98.91%
Isaiah Roby,5.40,30,98.91%
Shake Milton,5.43,27,98.90%
Chuma Okeke,5.45,26,98.90%
Timothe Luwawu-Cabarrot,5.46,50,98.90%
Kelly Oubre Jr.,5.50,28,98.89%
Jake Layman,5.50,31,98.89%
Zach LaVine,5.54,44,98.88%
Chimezie Metu,5.60,23,98.87%
Josh Hart,5.64,35,98.86%
Leandro Bolmaro,5.65,32,98.86%
Yves Pons,5.69,25,98.85%
Jerami Grant,5.73,69,98.84%
Eric Paschall,5.80,22,98.83%
Drew Eubanks,5.83,28,98.83%
Corey Kispert,5.88,31,98.82%
Austin Reaves,5.93,30,98.80%
Jarrett Culver,5.95,25,98.80%
Royce O'Neale,5.95,33,98.80%
Theo Pinson,5.95,26,98.80%
Dorian Finney-Smith,6.00,34,98.79%
Kevon Looney,6.03,34,98.79%
Troy Brown Jr.,6.15,22,98.76%
Davon Reed,6.16,36,98.76%
Oshae Brissett,6.25,28,98.74%
D.J. Wilson,6.26,66,98.74%
Kevin Knox II,6.29,36,98.73%
Garrison Mathews,6.33,27,98.72%
Precious Achiuwa,6.36,33,98.72%
Joe Wieskamp,6.46,28,98.70%
Bam Adebayo,6.47,38,98.70%
Cameron Johnson,6.51,40,98.69%
Landry Shamet,6.52,33,98.69%
Jarred Vanderbilt,6.52,34,98.69%
Nathan Knight,6.56,31,98.68%
Tobias Harris,6.56,71,98.68%
Elijah Hughes,6.63,31,98.66%
Andrew Wiggins,6.64,45,98.66%
Tony Bradley,6.66,32,98.66%
Desmond Bane,6.66,33,98.66%
Kenyon Martin Jr.,6.68,30,98.65%
Keljin Blevins,6.73,28,98.64%
Thomas Bryant,6.73,38,98.64%
P.J. Washington,6.76,40,98.64%
Darius Bazley,6.77,31,98.64%
Bobby Portis,6.80,71,98.63%
Justise Winslow,6.80,28,98.63%
Jalen McDaniels,6.84,38,98.62%
Aaron Wiggins,6.86,36,98.62%
Malik Monk,6.90,36,98.61%
Kessler Edwards,6.92,41,98.60%
Domantas Sabonis,6.96,36,98.60%
De'Andre Hunter,6.97,43,98.60%
Tyler Cook,7.07,37,98.57%
Jamorko Pickett,7.08,35,98.57%
Xavier Tillman,7.09,37,98.57%
Lonzo Ball,7.16,32,98.56%
Sam Hauser,7.17,38,98.55%
Nassir Little,7.18,45,98.55%
Dillon Brooks,7.20,38,98.55%
Luke Kennard,7.26,33,98.54%
Terry Taylor,7.34,27,98.52%
Kevin Huerter,7.34,35,98.52%
Hamidou Diallo,7.39,46,98.51%
Quinndary Weatherspoon,7.42,47,98.50%
Montrezl Harrell,7.44,65,98.50%
Markelle Fultz,7.49,39,98.49%
Xavier Sneed,7.50,23,98.49%
Max Strus,7.51,27,98.49%
Grayson Allen,7.55,58,98.48%
Frank Ntilikina,7.56,38,98.48%
Josh Okogie,7.58,40,98.47%
Nickeil Alexander-Walker,7.63,46,98.46%
Georges Niang,7.65,63,98.46%
Naz Reid,7.70,40,98.45%
Gary Harris,7.72,73,98.44%
John Collins,7.74,38,98.44%
Deni Avdija,7.76,38,98.44%
Miles Bridges,7.82,40,98.42%
Evan Fournier,7.84,61,98.42%
Tyler Herro,7.85,41,98.42%
Bogdan Bogdanovic,7.90,43,98.41%
Anthony Gill,7.97,72,98.39%
Furkan Korkmaz,8.00,33,98.39%
Daniel Gafford,8.09,42,98.37%
Obi Toppin,8.16,43,98.36%
Semi Ojeleye,8.21,35,98.35%
Shai Gilgeous-Alexander,8.21,41,98.34%
Chris Duarte,8.23,44,98.34%
Payton Pritchard,8.26,39,98.33%
Vlatko Cancar,8.26,46,98.33%
Caris LeVert,8.26,46,98.33%
RJ Barrett,8.39,51,98.31%
Gary Trent Jr.,8.47,28,98.29%
Isaac Bonga,8.48,49,98.29%
Malcolm Hill,8.48,35,98.29%
Kendrick Nunn,8.55,41,98.28%
Derrick White,8.56,80,98.27%
Malik Beasley,8.58,41,98.27%
Dejounte Murray,8.65,42,98.26%
Ayo Dosunmu,8.68,49,98.25%
Monte Morris,8.69,42,98.25%
Joe Harris,8.73,62,98.24%
Jonathan Isaac,8.74,43,98.24%
Maurice Harkless,8.78,35,98.23%
Jalen Brunson,8.88,46,98.21%
Lance Stephenson,8.88,44,98.21%
Bruce Brown,8.92,34,98.20%
Tim Hardaway Jr.,8.92,48,98.20%
Alex Caruso,8.92,69,98.20%
Aaron Nesmith,8.94,29,98.20%
CJ Elleby,9.01,45,98.18%
Matt Ryan,9.04,41,98.18%
