Player,Mean Possibilities,Maximum Possibilities,Mean Decrease in Possibilities
Ish Wainright,3.00,12,99.15%
Cody Martin,3.05,13,99.14%
Gary Clark,3.09,14,99.13%
Taurean Prince,3.09,13,99.12%
Jae'Sean Tate,3.24,13,99.08%
Derrick Jones Jr.,3.26,16,99.08%
Lindy Waters III,3.34,15,99.05%
Caleb Martin,3.36,16,99.05%
Naji Marshall,3.40,17,99.04%
Kelan Martin,3.43,16,99.03%
Jaylen Brown,3.50,12,99.01%
Lamar Stevens,3.50,16,99.01%
Jerami Grant,3.56,20,98.99%
Dorian Finney-Smith,3.63,21,98.97%
Timothe Luwawu-Cabarrot,3.66,15,98.96%
Zach LaVine,3.69,12,98.95%
Dylan Windler,3.70,14,98.95%
Jake Layman,3.71,21,98.95%
Josh Hart,3.77,16,98.93%
Tobias Harris,3.78,23,98.93%
Amir Coffey,3.81,15,98.92%
Haywood Highsmith,3.82,14,98.92%
Grant Williams,3.86,16,98.91%
Rui Hachimura,3.90,19,98.90%
Stanley Johnson,3.92,17,98.89%
Isaiah Livers,3.93,18,98.89%
Terance Mann,3.94,13,98.88%
Cedi Osman,3.98,21,98.87%
Mikal Bridges,4.01,20,98.86%
Kelly Oubre Jr.,4.01,15,98.86%
Malik Fitts,4.02,15,98.86%
OG Anunoby,4.08,20,98.84%
Royce O'Neale,4.10,21,98.84%
Trevelin Queen,4.17,16,98.82%
Devontae Cacok,4.18,22,98.81%
Kevon Looney,4.22,22,98.81%
Montrezl Harrell,4.25,17,98.80%
Davon Reed,4.27,21,98.79%
Charlie Brown Jr.,4.28,15,98.79%
Bobby Portis,4.29,22,98.78%
Andrew Wiggins,4.30,26,98.78%
Maurice Harkless,4.31,20,98.78%
Theo Pinson,4.32,15,98.78%
Bogdan Bogdanovic,4.35,21,98.77%
Shake Milton,4.37,18,98.76%
Chimezie Metu,4.39,19,98.76%
Admiral Schofield,4.39,18,98.76%
D.J. Wilson,4.45,22,98.74%
Ignas Brazdeikis,4.46,23,98.74%
Herbert Jones,4.53,24,98.72%
Evan Fournier,4.54,25,98.71%
Matisse Thybulle,4.54,20,98.71%
Caris LeVert,4.59,20,98.70%
Gary Harris,4.60,16,98.70%
